doc_id	OID	GID	oriSent	genSent	repToken	oriConsistent	pairConsistent	goldCoref	goldCorefText	oriCoref	oriCorefText	newCoref	newCorefText	isCorefKeep
pt/nt/42/nt_4219	2	0	I wrapped it in a piece of cloth and hid it.	I wrapped it in a roll of cloth and hid it.	piece -> roll	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
pt/nt/42/nt_4219	2	1	I wrapped it in a piece of cloth and hid it.	I wrapped it in a ball of cloth and hid it.	piece -> ball	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
pt/nt/42/nt_4219	2	2	I wrapped it in a piece of cloth and hid it.	I wrapped it in a twist of cloth and hid it.	piece -> twist	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
pt/nt/42/nt_4219	2	3	I wrapped it in a piece of cloth and hid it.	I wrapped it in a corner of cloth and hid it.	piece -> corner	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
pt/nt/42/nt_4219	2	4	I wrapped it in a piece of cloth and hid it.	I wrapped it in a layer of cloth and hid it.	piece -> layer	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
pt/nt/42/nt_4219	2	5	I wrapped it in a piece of cloth and hid it.	I wrapped it in a staple of cloth and hid it.	piece -> staple	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
pt/nt/42/nt_4219	2	6	I wrapped it in a piece of cloth and hid it.	I wrapped it in a kind of cloth and hid it.	piece -> kind	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
pt/nt/42/nt_4219	2	7	I wrapped it in a piece of cloth and hid it.	I wrapped it in a pair of cloth and hid it.	piece -> pair	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
pt/nt/42/nt_4219	2	8	I wrapped it in a piece of cloth and hid it.	I wrapped it in a sort of cloth and hid it.	piece -> sort	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
pt/nt/42/nt_4219	2	9	I wrapped it in a piece of cloth and hid it.	I wrapped it in a band of cloth and hid it.	piece -> band	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
pt/nt/42/nt_4219	2	10	I wrapped it in a piece of cloth and hid it.	I wrapped it in a change of cloth and hid it.	piece -> change	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
pt/nt/42/nt_4219	2	11	I wrapped it in a piece of cloth and hid it.	I wrapped it in a stretch of cloth and hid it.	piece -> stretch	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
pt/nt/42/nt_4219	2	12	I wrapped it in a piece of cloth and hid it.	I wrapped it in a handful of cloth and hid it.	piece -> handful	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
pt/nt/42/nt_4219	2	13	I wrapped it in a piece of cloth and hid it.	I wrapped it in a type of cloth and hid it.	piece -> type	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
pt/nt/42/nt_4219	2	14	I wrapped it in a piece of cloth and hid it.	I wrapped it in a bar of cloth and hid it.	piece -> bar	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
pt/nt/42/nt_4219	2	15	I wrapped it in a piece of cloth and hid it.	I wrapped it in a pocket of cloth and hid it.	piece -> pocket	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
pt/nt/42/nt_4219	2	16	I wrapped it in a piece of cloth and hid it.	I wrapped it in a mess of cloth and hid it.	piece -> mess	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
pt/nt/42/nt_4219	2	17	I wrapped it in a piece of cloth and hid it.	I wrapped it in a piece of cloth and shot it.	hid -> shot	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
pt/nt/42/nt_4219	2	18	I wrapped it in a piece of cloth and hid it.	I wrapped it in a piece of cloth and bound it.	hid -> bound	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
pt/nt/45/nt_4509	3	0	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he signed between himself and his people.	made -> signed	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['his', 'God', 'he', 'himself']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['God', 'he', 'himself', 'his']]	False
pt/nt/45/nt_4509	3	1	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he negotiated between himself and his people.	made -> negotiated	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['his', 'God', 'he', 'himself']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['God', 'he', 'himself', 'his']]	False
pt/nt/45/nt_4509	3	2	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he holds between himself and his people.	made -> holds	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['his', 'God', 'he', 'himself']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['God', 'he', 'himself', 'his']]	False
pt/nt/45/nt_4509	3	3	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he keeps between himself and his people.	made -> keeps	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['his', 'God', 'he', 'himself']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['God', 'he', 'himself', 'his']]	False
pt/nt/45/nt_4509	3	4	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he kept between himself and his people.	made -> kept	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['his', 'God', 'he', 'himself']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['God', 'he', 'himself', 'his']]	False
pt/nt/45/nt_4509	3	5	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he disputes between himself and his people.	made -> disputes	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['his', 'God', 'he', 'himself']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['God', 'he', 'himself', 'his']]	False
pt/nt/45/nt_4509	3	6	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he seals between himself and his people.	made -> seals	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['his', 'God', 'he', 'himself']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['God', 'he', 'himself', 'his']]	False
pt/nt/45/nt_4509	3	7	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he broke between himself and his people.	made -> broke	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['his', 'God', 'he', 'himself']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['God', 'he', 'himself', 'his']]	False
pt/nt/45/nt_4509	3	8	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he held between himself and his people.	made -> held	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['his', 'God', 'he', 'himself']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['God', 'he', 'himself', 'his']]	False
pt/nt/45/nt_4509	3	9	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he sign between himself and his people.	made -> sign	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['his', 'God', 'he', 'himself']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['God', 'he', 'himself', 'his']]	False
pt/nt/45/nt_4509	3	10	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he strikes between himself and his people.	made -> strikes	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['his', 'God', 'he', 'himself']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['God', 'he', 'himself', 'his']]	False
pt/nt/45/nt_4509	3	11	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he settles between himself and his people.	made -> settles	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['his', 'God', 'he', 'himself']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['God', 'he', 'himself', 'his']]	False
pt/nt/45/nt_4509	3	12	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he breaks between himself and his people.	made -> breaks	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['his', 'God', 'he', 'himself']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['God', 'he', 'himself', 'his']]	False
pt/nt/45/nt_4509	3	13	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he called between himself and his people.	made -> called	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['his', 'God', 'he', 'himself']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['God', 'he', 'himself', 'his']]	False
pt/nt/45/nt_4509	3	14	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he sees between himself and his people.	made -> sees	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['his', 'God', 'he', 'himself']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['God', 'he', 'himself', 'his']]	False
pt/nt/45/nt_4509	3	15	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he calls between himself and his people.	made -> calls	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['his', 'God', 'he', 'himself']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['God', 'he', 'himself', 'his']]	False
pt/nt/45/nt_4509	3	16	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he maintains between himself and his people.	made -> maintains	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['his', 'God', 'he', 'himself']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['God', 'he', 'himself', 'his']]	False
pt/nt/45/nt_4509	3	17	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he found between himself and his people.	made -> found	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['his', 'God', 'he', 'himself']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['God', 'he', 'himself', 'his']]	False
pt/nt/45/nt_4509	3	18	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he settled between himself and his people.	made -> settled	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['his', 'God', 'he', 'himself']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['God', 'he', 'himself', 'his']]	False
pt/nt/45/nt_4509	3	19	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he negotiate between himself and his people.	made -> negotiate	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['his', 'God', 'he', 'himself']]	[[[5, 5], [9, 9], [12, 12], [14, 14]]]	[['God', 'he', 'himself', 'his']]	False
