	Unnamed: 0	doc_id	OID	GID	oriSent	genSent	repToken	oriConsistent	pairConsistent	goldCoref	goldCorefText	oriCoref	oriCorefText	newCoref	newCorefText	isCorefKeep
0	0	pt/nt/42/nt_4219	2	0	I wrapped it in a piece of cloth and hid it.	I wrapped it in a roll of cloth and hid it.	piece -> roll	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
1	1	pt/nt/42/nt_4219	2	1	I wrapped it in a piece of cloth and hid it.	I wrapped it in a ball of cloth and hid it.	piece -> ball	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
2	2	pt/nt/42/nt_4219	2	2	I wrapped it in a piece of cloth and hid it.	I wrapped it in a twist of cloth and hid it.	piece -> twist	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
3	3	pt/nt/42/nt_4219	2	3	I wrapped it in a piece of cloth and hid it.	I wrapped it in a corner of cloth and hid it.	piece -> corner	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
4	4	pt/nt/42/nt_4219	2	4	I wrapped it in a piece of cloth and hid it.	I wrapped it in a layer of cloth and hid it.	piece -> layer	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
5	5	pt/nt/42/nt_4219	2	5	I wrapped it in a piece of cloth and hid it.	I wrapped it in a staple of cloth and hid it.	piece -> staple	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
6	6	pt/nt/42/nt_4219	2	6	I wrapped it in a piece of cloth and hid it.	I wrapped it in a kind of cloth and hid it.	piece -> kind	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
7	7	pt/nt/42/nt_4219	2	7	I wrapped it in a piece of cloth and hid it.	I wrapped it in a pair of cloth and hid it.	piece -> pair	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
8	8	pt/nt/42/nt_4219	2	8	I wrapped it in a piece of cloth and hid it.	I wrapped it in a sort of cloth and hid it.	piece -> sort	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
9	9	pt/nt/42/nt_4219	2	9	I wrapped it in a piece of cloth and hid it.	I wrapped it in a band of cloth and hid it.	piece -> band	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
10	10	pt/nt/42/nt_4219	2	10	I wrapped it in a piece of cloth and hid it.	I wrapped it in a change of cloth and hid it.	piece -> change	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
11	11	pt/nt/42/nt_4219	2	11	I wrapped it in a piece of cloth and hid it.	I wrapped it in a stretch of cloth and hid it.	piece -> stretch	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
12	12	pt/nt/42/nt_4219	2	12	I wrapped it in a piece of cloth and hid it.	I wrapped it in a handful of cloth and hid it.	piece -> handful	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
13	13	pt/nt/42/nt_4219	2	13	I wrapped it in a piece of cloth and hid it.	I wrapped it in a type of cloth and hid it.	piece -> type	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
14	14	pt/nt/42/nt_4219	2	14	I wrapped it in a piece of cloth and hid it.	I wrapped it in a bar of cloth and hid it.	piece -> bar	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
15	15	pt/nt/42/nt_4219	2	15	I wrapped it in a piece of cloth and hid it.	I wrapped it in a pocket of cloth and hid it.	piece -> pocket	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
16	16	pt/nt/42/nt_4219	2	16	I wrapped it in a piece of cloth and hid it.	I wrapped it in a mess of cloth and hid it.	piece -> mess	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
17	17	pt/nt/42/nt_4219	2	17	I wrapped it in a piece of cloth and hid it.	I wrapped it in a piece of cloth and shot it.	hid -> shot	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
18	18	pt/nt/42/nt_4219	2	18	I wrapped it in a piece of cloth and hid it.	I wrapped it in a piece of cloth and bound it.	hid -> bound	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	True
19	19	pt/nt/45/nt_4509	3	0	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he signed between himself and his people.	made -> signed	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	False
20	20	pt/nt/45/nt_4509	3	1	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he negotiated between himself and his people.	made -> negotiated	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	False
21	21	pt/nt/45/nt_4509	3	2	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he holds between himself and his people.	made -> holds	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	False
22	22	pt/nt/45/nt_4509	3	3	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he keeps between himself and his people.	made -> keeps	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	False
