	doc_id	OID	GID	oriSent	genSent	repToken	perplexity	oriConsistent	pairConsistent	goldCoref	goldCorefText	oriCoref	oriCorefText	newCoref	newCorefText	isTrueBug	isCorefKeep	oriDepth	newDepth	depthConsistent
0	wb/a2e/00/a2e_0019	0	0	But some explained his Islamic tendency by saying that he was currying favor with the Sunnis as if they were reading his mind.	But some explained his Islamic tendency by saying that he was currying favor with the Sunnis as if they were reading his mind	. -> 	-1	True	False	[[[14, 15], [18, 18]], [[3, 3], [21, 21], [9, 9]]]	[['the Sunnis', 'they'], ['his', 'his', 'he']]	[[[14, 15], [18, 18]], [[3, 3], [21, 21], [9, 9]]]	[['the Sunnis', 'they'], ['his', 'his', 'he']]	[[[14, 15], [18, 18]], [[1, 1], [3, 3], [21, 21], [9, 9]]]	[['the Sunnis', 'they'], ['some', 'his', 'his', 'he']]	True	True	set()	set()	True
1	wb/a2e/00/a2e_0019	0	1	But some explained his Islamic tendency by saying that he was currying favor with the Sunnis as if they were reading his mind.	But some explained his Islamic tendency by saying that he was currying favor wtih the Sunnis as if they were reading his mind.	t -> t	-1	True	True	[[[14, 15], [18, 18]], [[3, 3], [21, 21], [9, 9]]]	[['the Sunnis', 'they'], ['his', 'his', 'he']]	[[[14, 15], [18, 18]], [[3, 3], [21, 21], [9, 9]]]	[['the Sunnis', 'they'], ['his', 'his', 'he']]	[[[14, 15], [18, 18]], [[3, 3], [21, 21], [9, 9]]]	[['the Sunnis', 'they'], ['his', 'his', 'he']]	False	True	set()	set()	True
2	bc/cnn/00/cnn_0008	1	0	I was very disappointed that the political leadership of the United States uh would tell the families of these nineteen heroes that we were going to leave no stone unturned and find the people who killed them.	I was very disappointed that the political leadership of the United States uh would tell the families of these nineteen heroes that we were going to leave n ostone unturned and find the people who killed them /.	o -> o	-1	True	True	[[[36, 36], [18, 20]]]	[['them', 'these nineteen heroes']]	[[[18, 20], [36, 36]]]	[['these nineteen heroes', 'them']]	[[[18, 20], [36, 36]]]	[['these nineteen heroes', 'them']]	False	True	set()	set()	True
3	bc/cnn/00/cnn_0008	1	1	I was very disappointed that the political leadership of the United States uh would tell the families of these nineteen heroes that we were going to leave no stone unturned and find the people who killed them.	I was very disappointed that the political leadership of the United States uh would tell the families of these nineteen heroes that we were going to leave no stone unturned and find the people who killed them.	 / -> 	-1	True	True	[[[36, 36], [18, 20]]]	[['them', 'these nineteen heroes']]	[[[18, 20], [36, 36]]]	[['these nineteen heroes', 'them']]	[[[18, 20], [36, 36]]]	[['these nineteen heroes', 'them']]	False	True	set()	set()	True
4	bc/cnn/00/cnn_0008	1	2	I was very disappointed that the political leadership of the United States uh would tell the families of these nineteen heroes that we were going to leave no stone unturned and find the people who killed them.	I was very disappointed that the political leadership of the United States uh would tell the families of these nineteen heroes that we were going to leave no stone unturned and find the people who killed them	 /. -> 	-1	True	True	[[[36, 36], [18, 20]]]	[['them', 'these nineteen heroes']]	[[[18, 20], [36, 36]]]	[['these nineteen heroes', 'them']]	[[[18, 20], [36, 36]]]	[['these nineteen heroes', 'them']]	False	True	set()	set()	True
5	pt/nt/42/nt_4219	2	0	I wrapped it in a piece of cloth and hid it.	I wrapped it in a piece of cloth and hid it	. -> 	-1	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	False	True	set()	set()	True
6	pt/nt/42/nt_4219	2	1	I wrapped it in a piece of cloth and hid it.	I wrapped it in a piece of colth and hid it.	o -> o	-1	True	True	[[[10, 10], [2, 2]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	[[[2, 2], [10, 10]]]	[['it', 'it']]	False	True	set()	set()	True
7	pt/nt/45/nt_4509	3	0	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he made between himself and his people	. -> 	-1	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	True	False	set()	set()	True
8	pt/nt/45/nt_4509	3	1	They have the glory of God and the agreements he made between himself and his people.	They have the glroy of God and the agreements he made between himself and his people.	r -> r	-1	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	True	False	set()	set()	True
9	wb/a2e/00/a2e_0019	4	0	And he committed himself to the worship of God. And remained loyal to God.	And he committed himself to the worship of God . And remained loyal to God	. -> 	-1	False	True	[[[8, 8], [14, 14]], [[1, 1], [3, 3]]]	[['God', 'God'], ['he', 'himself']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	True	True	set()	set()	True
